redshift,frequency_MHz,brightness_temp_mK,neutral_fraction
3000.0,0.4733108133955348,0.0,0.07317073170731714
2997.04705,0.4737770046003781,-8.5516007872535e-06,0.07317073170731714
2994.09409,0.4742441166514405,-8.503850166413905e-06,0.07317073170731714
2991.14114,0.47471214910670956,-8.569596774564612e-06,0.07317073170731714
2988.18819,0.47518110627889243,-8.59373056532164e-06,0.07317073170731714
2985.23524,0.4756509909112184,-8.659590743668326e-06,0.07317073170731714
2982.28228,0.47612180735374465,-8.570086411413274e-06,0.07317073170731714
2979.32933,0.47659355518270863,-8.636004299597403e-06,0.07317073170731714
2976.37638,0.4770662387668972,-8.701989664744044e-06,0.07317073170731714
2973.42342,0.4775398624987965,-8.61237956744569e-06,0.07317073170731714
2970.47047,0.47801442596870225,-8.678422985589948e-06,0.07317073170731714
2967.51752,0.4784899335881299,-8.702709518595426e-06,0.07317073170731714
2964.56456,0.47896638979257294,-8.654817987873034e-06,0.07317073170731714
2961.61161,0.47944379418671085,-8.679121256409718e-06,0.07317073170731714
2958.65866,0.47992215122537135,-8.745338159558506e-06,0.07317073170731714
2955.70571,0.48040146376285786,-8.811623321266981e-06,0.07317073170731714
2952.75275,0.4808817362929243,-8.721770156547968e-06,0.07317073170731714
2949.7998,0.4813629684399464,-8.788114190554603e-06,0.07317073170731714
2946.84685,0.4818451647174276,-8.81255580080559e-06,0.07317073170731714
2943.89389,0.4823283296635181,-8.764566773678223e-06,0.07317073170731714
2940.94094,0.4828124629177634,-8.831038664994669e-06,0.07317073170731714
2937.98799,0.4832975690383818,-8.85554526925699e-06,0.07317073170731714
2935.03504,0.48378365096078685,-8.922134152639107e-06,0.07317073170731714
2932.08208,0.48427071328327775,-8.83203607089256e-06,0.07317073170731714
2929.12913,0.484758755666171,-8.898684660239685e-06,0.07317073170731714
2926.17618,0.4852477827282675,-8.965402712038877e-06,0.07317073170731714
2923.22322,0.4857377991137079,-8.875196914292307e-06,0.07317073170731714
2920.27027,0.48622880449880457,-8.9419750376606e-06,0.07317073170731714
2917.31732,0.48672080354853253,-8.966640116396355e-06,0.07317073170731714
2914.36436,0.487213800953511,-8.918509094191974e-06,0.07317073170731714
2911.41141,0.487707796406415,-8.985417472611578e-06,0.07317073170731714
2908.45846,0.48820279461903715,-9.01014899377503e-06,0.07317073170731714
2905.50551,0.4886987986477273,-9.077176452232948e-06,0.07317073170731714
2902.55255,0.48919581324608713,-8.986723088089374e-06,0.07317073170731714
2899.5996,0.4896938381291923,-9.053811470867279e-06,0.07317073170731714
2896.64665,0.4901928780722798,-9.120970546595717e-06,0.07317073170731714
2893.69369,0.49069293787696067,-9.03040826458403e-06,0.07317073170731714
2890.74074,0.4911940172755597,-9.09762864953479e-06,0.07317073170731714
2887.78779,0.4916961210916777,-9.122522156219369e-06,0.07317073170731714
2884.83483,0.4921992541756106,-9.074248516692998e-06,0.07317073170731714
2881.88188,0.49270341627732595,-9.141601627737183e-06,0.07317073170731714
2878.92893,0.49320861226947016,-9.16656307814591e-06,0.07317073170731714
2875.97598,0.49371484533562215,-9.234037411141667e-06,0.07317073170731714
2873.02302,0.4942221203920628,-9.143224869053124e-06,0.07317073170731714
2870.07007,0.49473043721290993,-9.210761399649536e-06,0.07317073170731714
2867.11712,0.4952398007372865,-9.278369854469455e-06,0.07317073170731714
2864.16416,0.49575021593178104,-9.18744720505732e-06,0.07317073170731714
2861.21121,0.49626168258910563,-9.25511824677855e-06,0.07317073170731714
2858.25826,0.49677420569906827,-9.32286160144594e-06,0.07317073170731714
2855.30531,0.4972877885382638,-9.348039146123647e-06,0.07317073170731714
2852.35235,0.49780243614147407,-9.299634796364808e-06,0.07317073170731714
2849.3994,0.4983181483268626,-9.324831362434052e-06,0.07317073170731714
2846.44645,0.4988349301529446,-9.39276113665765e-06,0.07317073170731714
2843.49349,0.4993527867065008,-9.344312202656992e-06,0.07317073170731714
2840.54054,0.4998717178252892,-9.36957874415128e-06,0.07317073170731714
2837.58759,0.5003917286202184,-9.437645234470906e-06,0.07317073170731714
2834.63463,0.5009128242308143,-9.346358251937442e-06,0.07317073170731714
2831.68168,0.5014350045148737,-9.414488633103551e-06,0.07317073170731714
2828.72873,0.5019582746364526,-9.482692633728585e-06,0.07317073170731714
2825.77578,0.5024826380109992,-9.50811000628096e-06,0.07317073170731714
2822.82282,0.5030080998495507,-9.459562244480754e-06,0.07317073170731714
2819.86987,0.5035346600373309,-9.527904545267168e-06,0.07317073170731714
2816.91692,0.504062323810455,-9.553393312078706e-06,0.07317073170731714
2813.96396,0.5045910964344993,-9.50480077908035e-06,0.07317073170731714
2811.01101,0.5051209778158017,-9.530309403731824e-06,0.07317073170731714
2808.05806,0.5056519732454373,-9.598842828750292e-06,0.07317073170731714
2805.10511,0.5061840862404473,-9.667450985342264e-06,0.07317073170731714
2802.15215,0.5067173221403626,-9.575786173917483e-06,0.07317073170731714
2799.1992,0.5072516808804174,-9.644459802145722e-06,0.07317073170731714
2796.24625,0.5077871678262148,-9.713208583218116e-06,0.07317073170731714
2793.29329,0.5083237883736964,-9.62143082151976e-06,0.07317073170731714
2790.34034,0.5088615424803411,-9.690245487623407e-06,0.07317073170731714
2787.38739,0.509400435568603,-9.759135700133318e-06,0.07317073170731714
2784.43443,0.5099404730916607,-9.66724460769043e-06,0.07317073170731714
2781.48148,0.5104816550297399,-9.736201146279166e-06,0.07317073170731714
2778.52853,0.5110239868629807,-9.762010478711895e-06,0.07317073170731714
2775.57558,0.5115674722602004,-9.831096133480055e-06,0.07317073170731714
2772.62262,0.5121121167522061,-9.782328052946503e-06,0.07317073170731714
2769.66967,0.5126579203503534,-9.808211455949523e-06,0.07317073170731714
2766.71672,0.5132048886130225,-9.87744052261154e-06,0.07317073170731714
2763.76376,0.5137530271302457,-9.828627496391668e-06,0.07317073170731714
2760.81081,0.5143023359373411,-9.854585484288326e-06,0.07317073170731714
2757.85786,0.514852820652384,-9.923958823804431e-06,0.07317073170731714
2754.9049,0.5154044869255104,-9.875100799251952e-06,0.07317073170731714
2751.95195,0.5159573348165412,-9.901133883882824e-06,0.07317073170731714
2748.999,0.5165113700041346,-9.970652337723601e-06,0.07317073170731714
2746.04605,0.5170665963171605,-9.996770430576426e-06,0.07317073170731714
2743.09309,0.5176230194872872,-9.947857977503202e-06,0.07317073170731714
2740.14014,0.5181806396078678,-1.0017522426950176e-05,0.07317073170731714
2737.18719,0.5187394624397464,-1.0043716663125883e-05,0.07317073170731714
